startsAt,open,high,low,close,volume,quoteVolume
1492779600,51.00000000,51.00000000,51.00000000,51.00000000,0.00099750,0.05087250
1492783200,51.00000000,51.00000000,51.00000000,51.00000000,0.00000250,0.00012750
1492786800,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492790400,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492794000,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492797600,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492801200,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492804800,51.00000000,51.00000000,51.00000000,51.00000000,0,0
1492808400,52.00000000,53.00000000,51.11500000,51.12500000,0.25428443,13.35323568
1492812000,51.12500000,70.00000000,51.12500000,70.00000000,0.52738633,27.51823403
1492815600,70.00000000,70.00000000,70.00000000,70.00000000,0,0
1492819200,70.00000000,70.00000000,70.00000000,70.00000000,0,0
1492822800,70.00000000,70.00000000,70.00000000,70.00000000,0,0
1492826400,70.00000000,70.00000000,70.00000000,70.00000000,0,0
1492830000,70.00000000,70.00000000,70.00000000,70.00000000,0,0
1492833600,47.00000000,47.00000000,47.00000000,47.00000000,32.36907037,1521.34630739
1492837200,47.00000000,47.00000000,47.00000000,47.00000000,0,0
1492840800,47.00000000,47.00000000,47.00000000,47.00000000,0,0
1492844400,50.00000002,50.00000002,50.00000002,50.00000002,0.23215911,11.60795550
1492848000,50.00000002,50.00000002,50.00000002,50.00000002,0.69466049,34.73302450
1492851600,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492855200,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492858800,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492862400,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492866000,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492869600,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492873200,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492876800,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492880400,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492884000,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492887600,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492891200,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492894800,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492898400,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492902000,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492905600,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492909200,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492912800,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492916400,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492920000,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492923600,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492927200,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492930800,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492934400,50.00000002,50.00000002,50.00000002,50.00000002,0,0
1492938000,50.00000002,50.00000002,50.00000002,50.00000002,0,0
