Name	Emittent	ISIN
AMUNDI IS MSCI NORTH AMERICA 	Amundi Luxembourg S.A. 	LU1437016543 
AMUNDI IS MSCI SWITZERLAND 	Amundi Luxembourg S.A. 	LU1681044720 
AMUNDI IS MSCI USA 	Amundi Luxembourg S.A. 	LU1681042864 
AMUNDI IS MSCI USA MINIMUM VOLATIL FAC 	Amundi Luxembourg S.A. 	LU1589349734 
AMUNDI IS MSCI WORLD 	Amundi Luxembourg S.A. 	LU1737652237 
AMUNDI IS MSCI WORLD 	Amundi Luxembourg S.A. 	LU1437016972 
AMUNDI IS MSCI WORLD CLMT PARIS ALGN PAB 	Amundi Luxembourg S.A. 	LU2182388400 
AMUNDI IS MSCI WORLD ENERGY 	Amundi Luxembourg S.A. 	LU1681046006 
AMUNDI IS MSCI WORLD ETF 	Amundi Luxembourg S.A. 	LU1681043599 
AMUNDI IS MSCI WORLD EX EUROPE 	Amundi Luxembourg S.A. 	LU1681045537 
AMUNDI IS MSCI WORLD SRI PAB 	Amundi Luxembourg S.A. 	LU1861134382 
AMUNDI IS NASDAQ-100 	Amundi Luxembourg S.A. 	LU1681038599 
AMUNDI IS NASDAQ-100 	Amundi Luxembourg S.A. 	LU1681038243 
AMUNDI IS PRIME EURO GOVIES 	Amundi Luxembourg S.A. 	LU1931975152 
AMUNDI IS RUSSELL 2000 	Amundi Luxembourg S.A. 	LU1681038672 
AMUNDI IS S&P 500 BUYBACK 	Amundi Luxembourg S.A. 	LU1681048127 
AMUNDI IS S&P 500 ESG 	Amundi Luxembourg S.A. 	LU1437017863 
AMUNDI IS S&P 500 ETF 	Amundi Luxembourg S.A. 	LU1681049109 
AMUNDI IS S&P 500 ETF 	Amundi Luxembourg S.A. 	LU1681048804 
AMUNDI IS S&P GLOBAL LUXURY 	Amundi Luxembourg S.A. 	LU1681048630 
AMUNDI IS STOXX EUROPE 600 	Amundi Luxembourg S.A. 	LU1681040223 
AMUNDI MSCI EMU ESG LEADERS SELECT 	Amundi Luxembourg S.A. 	LU1602144575 
AMUNDI MSCI GLOBAL CLIMATE TRNSTN CTB 	Amundi Luxembourg S.A. 	LU1602144229 
AMUNDI SOL MSCI PAC EX JPN SRI PAB FD 	Amundi Luxembourg S.A. 	LU1602144906 
AMUNDI STOXX GLOBAL ARTIFICIAL INTLGC 	Amundi Luxembourg S.A. 	LU1861132840 
BLACKROCK ESG MULTI-ASSET CNSRV PTF ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BLP53M98 
BLACKROCK ESG MULTI-ASSET GROWTH PTF ETF 	BlackRock Asset Management Ireland Ltd. 	IE00BLLZQ805 
